,NameOfJob,NameOfBusiness,Location,JobType,Salary,Skills,WorkType,Duration,URL
56,Performance Data Analyst,Chelsea Football Club,Cobham,Data Analyst,0,"['power bi', 'bi', 'data analysis', 'r', 'sql', 'data visualisation', 'innovation', 'python', 'degree', 'collaboration']",On-site,Full-time,4294430671
57,Data Scientist,BSI,Cambridge,Data Analyst,0,"['ai', 'azure', 'aws', 'r', 'sql', 'innovation', 'python', 'collaboration']",Hybrid,Full-time,4288071515
58,Graduate Data Scientist,Shift Technology,London,Data Analyst,0,"['ai', 'machine learning', 'c#', 'sql', 'innovation', 'degree']",empty,Full-time,4300049266
59,Agentic Data Analyst Intern - Global Revenue Opera,Seagate Technology,United Kingdom,Data Analyst,0,"['ai', 'passion', 'analytical', 'c++', 'machine learning', 'postgresql', 'llm', 'excel', 'sql', 'ml', 'python', 'degree']",Remote,Internship,4295714905
60,Quantitative Trading Analyst Intern,DRW,London,Data Analyst,0,"['passion', 'analytical', 'machine learning', 'innovation', 'python']",On-site,Internship,4266280684
61,Associate Data Scientist,Government Digital Service,England,Data Analyst,47700.0,"['ai', 'analytical', 'llm', 'azure', 'matplotlib', 'agile', 'aws', 'data visualisation', 'innovation', 'pandas', 'python', 'numpy', 'github', 'ml', 'nlp', 'sql', 'collaboration']",Hybrid,Full-time,4297778407
62,Data Scientist,Printed.com,Cramlington,Data Analyst,55000.0,"['ai', 'machine learning', 'aws', 'pytorch', 'r', 'tensorflow', 'sql', 'ml', 'python']",Hybrid,Full-time,4284075674
63,Data Analyst and Research Assistant,Northumbria Police,Newcastle Upon Tyne,Data Analyst,30200.0,"['ai', 'analytical', 'data analysis', 'agile', 'excel', 'collaboration']",Hybrid,Full-time,4295801089
64,Data Analyst,STRABAG UK,Manchester,Data Analyst,0,"['bi', 'ambitious', 'azure', 'power bi']",Hybrid,Full-time,4301751315
65,Analyst (8689),Adult Learning,Norwich,Data Analyst,0,"['power bi', 'passion', 'bi']",Hybrid,Full-time,4299179370
66,Data Analyst (Retrofit),Xterna ,Manchester,Data Analyst,0,"['power bi', 'bi', 'passion', 'tableau', 'data analysis', 'ai', 'excel', 'sql']",Hybrid,Full-time,4301714998
67,"Data Scientist, Internship, United Kingdom - BCG X",Boston Consulting Group (BCG),London,Data Analyst,0,"['spark', 'ai', 'passion', 'machine learning', 'python', 'degree']",empty,Internship,4152197269
68,Junior Data Analyst,All Response Media,London,Data Analyst,0,"['passion', 'r', 'excel', 'sql', 'innovation', 'python', 'collaboration']",Hybrid,Full-time,4295376347
69,Data Scientist,Alpine Formula One Team,Enstone,Data Analyst,0,"['passion', 'machine learning', 'azure', 'pytorch', 'docker', 'pandas', 'numpy', 'github', 'python', 'c', 'degree', 'collaboration']",empty,Full-time,4301367451
70,Data Scientist,Bright Purple,Edinburgh,Data Analyst,67500.0,"['machine learning', 'azure', 'agile', 'pytorch', 'tensorflow', 'github', 'sql', 'python', 'c', 'degree', 'collaboration']",Hybrid,Full-time,4297439171
71,Digital Product Analyst – Digital Ordering,Greggs,Newcastle Upon Tyne,Data Analyst,30000,"['passion', 'data analysis', 'azure', 'agile', 'excel']",On-site,Full-time,4296751133
72,Data Analyst - DE,Eucalyptus,London,Data Analyst,0,"['bi', 'analytical', 'sql', 'python', 'collaboration']",Hybrid,Full-time,4295680840
73,Data Scientist II - Platform Developer Experience,Spotify,London,Data Analyst,0,"['bi', 'ai', 'tableau', 'data analysis', 'sql', 'innovation', 'python']",empty,Full-time,4297566330
74,Business Intelligence Analyst,Hutchison Ports (UK),Felixstowe,Data Analyst,64000,"['power bi', 'bi', 'data analysis', 'sql', 'innovation']",On-site,Full-time,4295557649
75,Data Analyst,Mapyx Limited,Newcastle Upon Tyne,Data Analyst,0,"['power bi', 'bi', 'analytical', 'data analysis', 'degree']",Hybrid,Full-time,4296984380
76,Data Analyst,The University of Law,United Kingdom,Data Analyst,0,"['passion', 'analytical', 'sql', 'innovation']",empty,Contract,4295978708
77,Data Analyst,RealityMine,Manchester,Data Analyst,0,"['bi', 'analytical', 'data analysis', 'sql', 'python']",Hybrid,Full-time,4294830490
78,Data Analyst/Business Intelligence (BI) Specialist,Northumbria Healthcare NHS Foundation Trust,Newcastle Upon Tyne,Data Analyst,0,"['bi', 'power bi', 'data analysis', 'azure', 'sql', 'innovation', 'degree', 'collaboration']",empty,Full-time,4296985393
79,Graduate Data Analyst,GRAYCE,Doncaster,Data Analyst,25000,"['power bi', 'bi', 'passion', 'analytical', 'problem solver', 'data analysis', 'tableau', 'ambitious', 'r', 'excel', 'sql', 'python', 'degree']",On-site,Full-time,4275582117
80,Data Analyst,INOVERSE GROUPE,Exeter,Data Analyst,0,"['postgresql', 'data analysis', 'sql', 'innovation', 'python']",empty,Full-time,4299493428
81,Data Analyst,Neos Global Search,Warrington,Data Analyst,32500.0,"['excel', 'sql']",Hybrid,Full-time,4301760662
82,Data Scientist,Creditsafe,Cardiff,Data Analyst,0,"['passion', 'data analysis', 'analytical', 'machine learning', 'aws', 'innovation', 'ml', 'python', 'degree', 'collaboration']",On-site,Full-time,4292163403
83,Data Scientist,Creditsafe,Cardiff,Data Analyst,0,"['passion', 'data analysis', 'analytical', 'machine learning', 'aws', 'innovation', 'ml', 'python', 'degree', 'collaboration']",On-site,Full-time,4292163403
84,Data Scientist,Cint,London,Data Analyst,0,"['spark', 'data analysis', 'analytical', 'machine learning', 'sql', 'innovation', 'python', 'degree', 'collaboration']",Remote,Full-time,4299767308
85,Data Analyst (Digital Transformation) Apprentice,ABP UK,Birmingham,Data Analyst,0,"['passion', 'data analysis', 'analytical', 'innovation']",On-site,Full-time,4300708410
86,"Statistical Analyst (Stirling, Entry Level)",Medpace,Stirling,Data Analyst,0,"['passion', 'degree', 'collaboration']",On-site,Full-time,4116235807
87,Intelligence & Data Specialist,British Horseracing Authority,London Area,Data Analyst,40000,[],Hybrid,Contract,4297843119
88,Junior BI Analyst,TransPerfect,London Area,Data Analyst,0,"['bi', 'relational databases', 'tableau', 'degree']",Hybrid,Full-time,4268577870
89,Data Analyst – SAS & SQL,Natobotics ,Edinburgh,Data Analyst,0,"['bi', 'data analysis', 'analytical', 'relational databases', 'sql']",On-site,Contract,4299321463
90,BHSCT_Band 5 Data Analyst,Belfast Health and Social Care Trust,Belfast,Data Analyst,0,[],On-site,Full-time,4296239805
91,Data Test Analyst,Sage,Newcastle Upon Tyne,Data Analyst,0,"['analytical', 'agile', 'sql', 'collaboration']",Hybrid,Full-time,4291876205
92,Business Intelligence Associate,SPORTFIVE,Altrincham,Data Analyst,0,"['excel', 'analytical', 'degree', 'data visualisation']",Hybrid,Full-time,4293840479
93,Data Analyst Project Intern (TikTok Shop - User Gr,TikTok,London,Data Analyst,0,"['analytical', 'data analysis', 'sql', 'python', 'degree']",empty,Internship,4291351235
94,Supporter Data & Insight Executive,The King's Trust,London,Data Analyst,0,[],Hybrid,Full-time,4299406750
95,"Programming, Statistics & Data Science (Multiple R",GSK,London,Data Analyst,0,"['data analysis', 'machine learning', 'ambitious', 'agile', 'innovation', 'python', 'degree', 'masters']",On-site,Full-time,4300826423
96,Dementia Data and Intelligence Officer,Alzheimer's Society,United Kingdom,Data Analyst,32750.0,"['power bi', 'bi', 'data analysis', 'r', 'data visualisation', 'sql', 'python', 'collaboration']",Remote,Full-time,4291124399
97,Summer Internship – Data Science Researcher,BAE Systems,Chelmsford,Data Analyst,0,"['ai', 'degree', 'nlp', 'innovation']",Hybrid,Internship,4300818605
98,Rev-celerator Graduate Programme 2026: Data Scient,Revolut,United Kingdom,Data Analyst,0,"['analytical', 'machine learning', 'sql', 'ml', 'python']",Remote,Full-time,4237003111
99,Data Scientist,Southern Water,Brighton,Data Analyst,0,"['ai', 'analytical', 'machine learning', 'azure', 'python']",Hybrid,Full-time,4215851933
100,Data Scientist,easyJet,Luton,Data Analyst,0,"['ai', 'analytical', 'machine learning', 'agile', 'sql', 'innovation', 'data visualisation', 'python', 'degree']",Hybrid,Full-time,4288987669
101,Graduate Data Analyst,GRAYCE,Rotherham,Data Analyst,25000,"['power bi', 'bi', 'passion', 'analytical', 'problem solver', 'data analysis', 'tableau', 'ambitious', 'r', 'excel', 'sql', 'python', 'degree']",On-site,Full-time,4286655651
102,Data Analyst,Vp plc,Harrogate,Data Analyst,33600.0,"['tableau', 'analytical', 'excel', 'sql', 'data visualisation', 'python']",Hybrid,Full-time,4298707618
103,Data Scientist,StackAdapt,London,Data Analyst,0,"['ai', 'machine learning', 'ml', 'innovation', 'degree', 'masters']",Remote,Full-time,4296341649
104,"NEACO Data Analyst (Part Time, Fixed Term)",Cambridge Service Alliance,Cambridge,Data Analyst,0,[],On-site,Part-time,4300099752
105,Data Analyst,NielsenIQ,Stockport,Data Analyst,0,"['analytical', 'relational databases', 'innovation', 'degree', 'collaboration']",Hybrid,Full-time,4297189396
106,Data Scientist,RealityMine,Manchester,Data Analyst,0,"['analytical', 'machine learning', 'aws', 'sql', 'innovation', 'ml', 'python', 'collaboration']",Hybrid,Full-time,4280853255
107,Data Scientist,Hastings Direct,London,Data Analyst,0,"['python', 'sql', 'machine learning', 'ml']",Hybrid,Full-time,4301278804
108,Data Scientist,Hastings Direct,London,Data Analyst,0,"['python', 'sql', 'machine learning', 'ml']",Hybrid,Full-time,4301278804
109,2026 Data Science Analyst - Summer Internship - Gl,JPMorganChase,Greater London,Data Analyst,0,"['spark', 'analytical', 'machine learning', 'agile', 'aws', 'pytorch', 'r', 'sql', 'python', 'degree']",On-site,Full-time,4294396758
110,2026 Data Science Analyst - Summer Internship - Gl,JPMorganChase,Greater London,Data Analyst,0,"['spark', 'analytical', 'machine learning', 'agile', 'aws', 'pytorch', 'r', 'sql', 'python', 'degree']",On-site,Full-time,4294396758
111,People Data and Insight Analyst,RSA,England,Data Analyst,0,"['power bi', 'bi', 'analytical', 'tableau', 'data visualisation']",Hybrid,Full-time,4298186028
112,People Data and Insight Analyst,RSA,England,Data Analyst,0,"['power bi', 'bi', 'analytical', 'tableau', 'data visualisation']",Hybrid,Full-time,4298186028
113,Loans Administrator and Data Analyst,BNY,Manchester,Data Analyst,0,"['ai', 'excel']",On-site,Full-time,4301780748
114,Loans Administrator and Data Analyst,BNY,Manchester,Data Analyst,0,"['ai', 'excel']",On-site,Full-time,4301780748
115,Trainee Investment Data Analyst,Golden Hiring,London Area,Data Analyst,0,"['passion', 'analytical', 'ambitious', 'excel', 'sql', 'data visualisation', 'python']",On-site,Full-time,4300914136
116,Trainee Investment Data Analyst,Golden Hiring,London Area,Data Analyst,0,"['passion', 'analytical', 'ambitious', 'excel', 'sql', 'data visualisation', 'python']",On-site,Full-time,4300914136
117,Defence Intelligence (DI) - Socio-Cultural Analyst,UK Ministry of Defence,London,Data Analyst,0,"['html', 'analytical', 'degree', 'collaboration']",On-site,Full-time,4297907568
118,Defence Intelligence (DI) - Socio-Cultural Analyst,UK Ministry of Defence,London,Data Analyst,0,"['html', 'analytical', 'degree', 'collaboration']",On-site,Full-time,4297907568
119,Register Your Interest: Technology,Winton,London,Data Analyst,0,['ambitious'],On-site,Full-time,3955837187
120,Register Your Interest: Technology,Winton,London,Data Analyst,0,['ambitious'],On-site,Full-time,3955837187
121,2026 Sector Data Analyst Summer Intern,Schonfeld,London,Data Analyst,0,"['spark', 'ambitious', 'sql', 'pandas', 'python', 'degree']",On-site,Internship,4300120106
122,2026 Sector Data Analyst Summer Intern,Schonfeld,London,Data Analyst,0,"['spark', 'ambitious', 'sql', 'pandas', 'python', 'degree']",On-site,Internship,4300120106
123,The Information Lab - Graduate Data Consulting Ana,The Information Lab,London,Data Analyst,0,"['passion', 'tableau', 'masters', 'data visualisation']",On-site,Full-time,4272886512
124,The Information Lab - Graduate Data Consulting Ana,The Information Lab,London,Data Analyst,0,"['passion', 'tableau', 'masters', 'data visualisation']",On-site,Full-time,4272886512
125,"Data Analyst, Consumer Revenue",Condé Nast,London,Data Analyst,0,"['ai', 'analytical', 'tableau', 'data analysis', 'excel', 'sql', 'python', 'c', 'degree', 'collaboration']",empty,Full-time,4295087844
126,Data Analyst Project Intern (TikTok Shop-Supply Ch,TikTok,London,Data Analyst,0,"['power bi', 'bi', 'data analysis', 'tableau', 'excel', 'sql', 'data visualisation', 'python', 'degree']",empty,Internship,4297868789
127,2026 Data Science Analyst - Full Time Analyst - Gl,JPMorganChase,Greater London,Data Analyst,0,"['spark', 'analytical', 'machine learning', 'agile', 'aws', 'pytorch', 'r', 'sql', 'python', 'degree']",On-site,Full-time,4294389988
128,Decision Scientist (Credit),Funding Circle UK,London,Data Analyst,0,"['analytical', 'data analysis', 'tableau', 'r', 'excel', 'sql', 'python', 'degree', 'collaboration']",Hybrid,Full-time,4301506500
129,Data & Analytics Reporting Placement 2026- 27,Volkswagen Group UK Ltd,Milton Keynes,Data Analyst,0,"['analytical', 'degree']",Hybrid,Contract,4296449752
130,"Data Analyst, Bloomsbury Digital Resources",Bloomsbury Publishing Plc,London Area,Data Analyst,40000.0,"['excel', 'tableau', 'problem solver', 'sql']",Hybrid,Full-time,4299121769
131,2026 Early Career Data Analyst Graduate,AIG,London,Data Analyst,0,"['power bi', 'bi', 'analytical', 'excel', 'degree', 'collaboration']",On-site,Full-time,4300726090
132,Data and Insights Analyst,Warwickshire County Cricket Club,Warwickshire,Data Analyst,0,"['power bi', 'bi', 'data analysis', 'tableau', 'innovation']",On-site,Full-time,4286729263
133,Data and Insights Analyst,Warwickshire County Cricket Club,Warwickshire,Data Analyst,0,"['power bi', 'bi', 'data analysis', 'tableau', 'innovation']",On-site,Full-time,4286729263
134,HR Systems Analyst,innocent drinks,London Area,Data Analyst,0,['innovation'],Hybrid,Full-time,4299040726
135,HR Systems Analyst,innocent drinks,London Area,Data Analyst,0,['innovation'],Hybrid,Full-time,4299040726
136,Data Analyst - Business Development,Knight Frank,London,Data Analyst,0,"['power bi', 'bi', 'analytical', 'tableau', 'excel', 'data visualisation', 'innovation', 'sql', 'collaboration']",On-site,Full-time,4293712910
137,Data Analyst - Business Development,Knight Frank,London,Data Analyst,0,"['power bi', 'bi', 'analytical', 'tableau', 'excel', 'data visualisation', 'innovation', 'sql', 'collaboration']",On-site,Full-time,4293712910
138,Analyst - Rapid Intelligence - Part Time - Weekend,Cision,United Kingdom,Data Analyst,0,"['analytical', 'degree', 'collaboration', 'innovation']",Remote,Part-time,4300047528
139,Analyst - Rapid Intelligence - Part Time - Weekend,Cision,United Kingdom,Data Analyst,0,"['analytical', 'degree', 'collaboration', 'innovation']",Remote,Part-time,4300047528
140,Data Analyst - Remote (UK),Dines,Harrow,Data Analyst,0,"['data analysis', 'problem solver', 'sql']",Remote,Full-time,4296479073
141,Data Scientist,Dunelm,Leicester,Data Analyst,0,"['ambitious', 'analytical', 'machine learning', 'collaboration']",empty,Full-time,4289709461
142,Data Analyst,Independent Forgings and Alloys Ltd,Sheffield,Data Analyst,0,"['power bi', 'bi', 'data analysis', 'analytical', 'excel', 'sql']",On-site,Full-time,4301200035
143,Data Analyst,Verto,London,Data Analyst,0,"['bi', 'power bi', 'tableau', 'data analysis', 'machine learning', 'sql', 'pandas', 'numpy', 'python']",Hybrid,Full-time,4298257320
144,Data Analyst,Elsevier,Oxford,Data Analyst,0,"['tableau', 'analytical', 'relational databases', 'excel', 'sql']",empty,Full-time,4300712373
145,Operations Data Analyst,Wolseley Group,Chesterfield,Data Analyst,0,"['bi', 'power bi', 'analytical', 'excel', 'sql']",On-site,Full-time,4297642104
146,Data Analyst,Aquent,United Kingdom,Data Analyst,0,"['data analysis', 'analytical', 'sql', 'c', 'degree']",Remote,Temporary,4291630356
147,Junior Data Analyst,Tradition,London Area,Data Analyst,0,"['data analysis', 'analytical', 'relational databases', 'excel', 'sql', 'python', 'degree']",On-site,Full-time,4286798882
148,Data Analyst,LexisNexis Risk Solutions,City Of London,Data Analyst,0,"['data analysis', 'azure', 'sql', 'innovation', 'python']",empty,Full-time,4294051912
149,Graduate Data Analyst,GRAYCE,London Area,Data Analyst,0,"['power bi', 'bi', 'passion', 'analytical', 'problem solver', 'data analysis', 'tableau', 'ambitious', 'r', 'excel', 'sql', 'python', 'degree']",On-site,Full-time,4288951806
150,Intelligence Officer,Financial Conduct Authority,Leeds,Data Analyst,0,"['c', 'innovation']",Hybrid,Full-time,4299538248
